date,adj_close,volume
2025-09-05 13:30:00,239.6999969482422,3861130
2025-09-05 13:31:00,239.5800018310547,986618
2025-09-05 13:32:00,239.9600067138672,260517
2025-09-05 13:33:00,240.1109924316406,270253
2025-09-05 13:34:00,240.0700073242188,597480
2025-09-05 13:35:00,240.4700012207031,542266
2025-09-05 13:36:00,239.4499969482422,458852
2025-09-05 13:37:00,239.9700012207031,233932
2025-09-05 13:38:00,239.9900054931641,202657
2025-09-05 13:39:00,240.0099945068359,270946
2025-09-05 13:40:00,240.3999938964844,286640
2025-09-05 13:41:00,240.0,476038
2025-09-05 13:42:00,240.1029052734375,197224
2025-09-05 13:43:00,239.6446075439453,146877
2025-09-05 13:44:00,239.6499938964844,135480
2025-09-05 13:45:00,239.8699951171875,190833
2025-09-05 13:46:00,240.3350067138672,241139
2025-09-05 13:47:00,240.4199981689453,206474
2025-09-05 13:48:00,240.1737976074219,132259
2025-09-05 13:49:00,240.5099945068359,133575
2025-09-05 13:50:00,240.5041961669922,120977
2025-09-05 13:51:00,240.5200042724609,197140
2025-09-05 13:52:00,239.9799957275391,179226
2025-09-05 13:53:00,240.0500030517578,127625
2025-09-05 13:54:00,240.1600036621094,122899
2025-09-05 13:55:00,239.9100036621094,118729
2025-09-05 13:56:00,240.1499938964844,113276
2025-09-05 13:57:00,239.7850036621094,103325
2025-09-05 13:58:00,240.0200042724609,155305
2025-09-05 13:59:00,240.0742034912109,155583
2025-09-05 14:00:00,240.2353973388672,165122
2025-09-05 14:01:00,240.4600067138672,212214
2025-09-05 14:02:00,240.6799926757812,251857
2025-09-05 14:03:00,240.4149932861328,161187
2025-09-05 14:04:00,240.6849975585938,134116
2025-09-05 14:05:00,240.6938018798828,130834
2025-09-05 14:06:00,240.6399993896484,237050
2025-09-05 14:07:00,240.9494934082031,283819
2025-09-05 14:08:00,240.8399963378906,181196
2025-09-05 14:09:00,241.0549926757812,303222
2025-09-05 14:10:00,241.1600036621094,249831
2025-09-05 14:11:00,241.2749938964844,180255
2025-09-05 14:12:00,241.1300048828125,192502
2025-09-05 14:13:00,241.0,151598
2025-09-05 14:14:00,240.7200012207031,220436
2025-09-05 14:15:00,240.4700012207031,203473
2025-09-05 14:16:00,240.2100067138672,219818
2025-09-05 14:17:00,239.8999938964844,440501
2025-09-05 14:18:00,239.5749969482422,318647
2025-09-05 14:19:00,239.2100067138672,167840
2025-09-05 14:20:00,239.5700073242188,268621
2025-09-05 14:21:00,239.5986938476562,237223
2025-09-05 14:22:00,239.3076934814453,154844
2025-09-05 14:23:00,239.7550048828125,250260
2025-09-05 14:24:00,239.7400054931641,154807
2025-09-05 14:25:00,239.8300018310547,141957
2025-09-05 14:26:00,239.6983032226562,156408
2025-09-05 14:27:00,239.4400024414062,149720
2025-09-05 14:28:00,239.4250030517578,186263
2025-09-05 14:29:00,239.2850036621094,168374
2025-09-05 14:30:00,239.2599945068359,239738
2025-09-05 14:31:00,239.4799957275391,138421
2025-09-05 14:32:00,239.3800048828125,188289
2025-09-05 14:33:00,239.1076965332031,161093
2025-09-05 14:34:00,239.0549926757812,137059
2025-09-05 14:35:00,238.8600006103516,104094
2025-09-05 14:36:00,239.0101013183594,127222
2025-09-05 14:37:00,239.2899932861328,88946
2025-09-05 14:38:00,239.0099945068359,83722
2025-09-05 14:39:00,239.0357055664062,72465
2025-09-05 14:40:00,239.2400054931641,78881
2025-09-05 14:41:00,238.9799957275391,102617
2025-09-05 14:42:00,239.0,78036
2025-09-05 14:43:00,239.0,76149
2025-09-05 14:44:00,239.0099945068359,84349
2025-09-05 14:45:00,238.8800048828125,78672
2025-09-05 14:46:00,238.8899993896484,108980
2025-09-05 14:47:00,238.9199981689453,181988
2025-09-05 14:48:00,238.8099975585938,74193
